MSB,LSB,16-bit HEX,Decimal Value,Analog Output (V)
0x0,0x0,0x0,0,0.001593124
0x0,0x1,0x1,1,0.001708191
0x0,0x2,0x2,2,0.001771036
0x0,0x3,0x3,3,0.001805803
0x0,0x4,0x4,4,0.001822682
0x0,0x5,0x5,5,0.001898441
0x0,0x6,0x6,6,0.001921077
0x0,0x7,0x7,7,0.001917329
0x0,0x8,0x8,8,0.001876371
0x0,0x9,0x9,9,0.001974374
0x0,0xA,0xA,10,0.002015854
0x0,0xB,0xB,11,0.002032385
0x0,0xC,0xC,12,0.00202828
0x0,0xD,0xD,13,0.002086584
0x0,0xE,0xE,14,0.002087964
0x0,0xF,0xF,15,0.002065665
0x0,0x10,0x10,16,0.002013975
0x0,0x11,0x11,17,0.002121387
0x0,0x12,0x12,18,0.002172707
0x0,0x13,0x13,19,0.00220136
0x0,0x14,0x14,20,0.002205314
0x0,0x15,0x15,21,0.002273546
0x0,0x16,0x16,22,0.002284809
0x0,0x17,0x17,23,0.002272199
0x0,0x18,0x18,24,0.002221476
0x0,0x19,0x19,25,0.002309443
0x0,0x1A,0x1A,26,0.002341495
0x0,0x1B,0x1B,27,0.002350054
0x0,0x1C,0x1C,28,0.002332719
0x0,0x1D,0x1D,29,0.002381672
0x0,0x1E,0x1E,30,0.002372125
0x0,0x1F,0x1F,31,0.002340333
0x0,0x20,0x20,32,0.002218641
0x0,0x21,0x21,33,0.002331676
0x0,0x22,0x22,34,0.002388265
0x0,0x23,0x23,35,0.002420969
0x0,0x24,0x24,36,0.002431646
0x0,0x25,0x25,37,0.002503104
0x0,0x26,0x26,38,0.002520417
0x0,0x27,0x27,39,0.002512434
0x0,0x28,0x28,40,0.002466729
0x0,0x29,0x29,41,0.002561474
0x0,0x2A,0x2A,42,0.002596556
0x0,0x2B,0x2B,43,0.002609221
0x0,0x2C,0x2C,44,0.002598794
0x0,0x2D,0x2D,45,0.002651277
0x0,0x2E,0x2E,46,0.00264741
0x0,0x2F,0x2F,47,0.002619952
0x0,0x30,0x30,48,0.002562343
0x0,0x31,0x31,49,0.002666667
0x0,0x32,0x32,50,0.002712264
0x0,0x33,0x33,51,0.002735041
0x0,0x34,0x34,52,0.002734052
0x0,0x35,0x35,53,0.002797907
0x0,0x36,0x36,54,0.002805184
0x0,0x37,0x37,55,0.002787067
0x0,0x38,0x38,56,0.002730435
0x0,0x39,0x39,57,0.002813917
0x0,0x3A,0x3A,58,0.002841288
0x0,0x3B,0x3B,59,0.002843591
0x0,0x3C,0x3C,60,0.002822465
0x0,0x3D,0x3D,61,0.002866031
0x0,0x3E,0x3E,62,0.002849803
0x0,0x3F,0x3F,63,0.002813461
0x0,0x40,0x40,64,0.002672163
0x0,0x41,0x41,65,0.002787828
0x0,0x42,0x42,66,0.002848109
0x0,0x43,0x43,67,0.002882236
0x0,0x44,0x44,68,0.002894857
0x0,0x45,0x45,69,0.002969964
0x0,0x46,0x46,70,0.002989798
0x0,0x47,0x47,71,0.002984312
0x0,0x48,0x48,72,0.002940703
0x0,0x49,0x49,73,0.003036991
0x0,0x4A,0x4A,74,0.00307619
0x0,0x4B,0x4B,75,0.003091657
0x0,0x4C,0x4C,76,0.003083587
0x0,0x4D,0x4D,77,0.003138025
0x0,0x4E,0x4E,78,0.00313607
0x0,0x4F,0x4F,79,0.003112402
0x0,0x50,0x50,80,0.003059094
0x0,0x51,0x51,81,0.00316255
0x0,0x52,0x52,82,0.00321298
0x0,0x53,0x53,83,0.00323744
0x0,0x54,0x54,84,0.003239482
0x0,0x55,0x55,85,0.003304477
0x0,0x56,0x56,86,0.003312015
0x0,0x57,0x57,87,0.003297678
0x0,0x58,0x58,88,0.003245543
0x0,0x59,0x59,89,0.003330806
0x0,0x5A,0x5A,90,0.003360208
0x0,0x5B,0x5B,91,0.003364085
0x0,0x5C,0x5C,92,0.003345447
0x0,0x5D,0x5D,93,0.003391152
0x0,0x5E,0x5E,94,0.003381855
0x0,0x5F,0x5F,95,0.003346522
0x0,0x60,0x60,96,0.003221571
0x0,0x61,0x61,97,0.003332674
0x0,0x62,0x62,98,0.003385961
0x0,0x63,0x63,99,0.003416384
0x0,0x64,0x64,100,0.003423378
0x0,0x65,0x65,101,0.003494141
0x0,0x66,0x66,102,0.003507892
0x0,0x67,0x67,103,0.003497258
0x0,0x68,0x68,104,0.003449924
0x0,0x69,0x69,105,0.003539868
0x0,0x6A,0x6A,106,0.003573485
0x0,0x6B,0x6B,107,0.003585237
0x0,0x6C,0x6C,108,0.003571736
0x0,0x6D,0x6D,109,0.003621905
0x0,0x6E,0x6E,110,0.003616029
0x0,0x6F,0x6F,111,0.003583923
0x0,0x70,0x70,112,0.0035269
0x0,0x71,0x71,113,0.003627293
0x0,0x72,0x72,114,0.00367176
0x0,0x73,0x73,115,0.003690854
0x0,0x74,0x74,116,0.003686792
0x0,0x75,0x75,117,0.003748116
0x0,0x76,0x76,118,0.003752135
0x0,0x77,0x77,119,0.003732801
0x0,0x78,0x78,120,0.003673432
0x0,0x79,0x79,121,0.003753732
0x0,0x7A,0x7A,122,0.003780473
0x0,0x7B,0x7B,123,0.003779278
0x0,0x7C,0x7C,124,0.003756936
0x0,0x7D,0x7D,125,0.003796873
0x0,0x7E,0x7E,126,0.003779386
0x0,0x7F,0x7F,127,0.003739807
0x0,0x80,0x80,128,0.003594469
0x0,0x81,0x81,129,0.003713229
0x0,0x82,0x82,130,0.00377124
0x0,0x83,0x83,131,0.003807409
0x0,0x84,0x84,132,0.003820856
0x0,0x85,0x85,133,0.003897983
0x0,0x86,0x86,134,0.003915666
0x0,0x87,0x87,135,0.003913363
0x0,0x88,0x88,136,0.003873165
0x0,0x89,0x89,137,0.003969561
0x0,0x8A,0x8A,138,0.004009368
0x0,0x8B,0x8B,139,0.00402603
0x0,0x8C,0x8C,140,0.004018068
0x0,0x8D,0x8D,141,0.004075656
0x0,0x8E,0x8E,142,0.004075699
0x0,0x8F,0x8F,143,0.004052021
0x0,0x90,0x90,144,0.003999278
0x0,0x91,0x91,145,0.004106818
0x0,0x92,0x92,146,0.00415639
0x0,0x93,0x93,147,0.004183076
0x0,0x94,0x94,148,0.00418489
0x0,0x95,0x95,149,0.004251453
0x0,0x96,0x96,150,0.004262792
0x0,0x97,0x97,151,0.00424827
0x0,0x98,0x98,152,0.004197558
0x0,0x99,0x99,153,0.00428306
0x0,0x9A,0x9A,154,0.004314341
0x0,0x9B,0x9B,155,0.004318696
0x0,0x9C,0x9C,156,0.00430261
0x0,0x9D,0x9D,157,0.00434925
0x0,0x9E,0x9E,158,0.004338562
0x0,0x9F,0x9F,159,0.004305749
0x0,0xA0,0xA0,160,0.004183294
0x0,0xA1,0xA1,161,0.004293802
0x0,0xA2,0xA2,162,0.004347686
0x0,0xA3,0xA3,163,0.004381704
0x0,0xA4,0xA4,164,0.004389198
0x0,0xA5,0xA5,165,0.00445932
0x0,0xA6,0xA6,166,0.004476145
0x0,0xA7,0xA7,167,0.004467217
0x0,0xA8,0xA8,168,0.004419328
0x0,0xA9,0xA9,169,0.004510761
0x0,0xAA,0xAA,170,0.004548037
0x0,0xAB,0xAB,171,0.00455879
0x0,0xAC,0xAC,172,0.004546538
0x0,0xAD,0xAD,173,0.004598815
0x0,0xAE,0xAE,174,0.00459295
0x0,0xAF,0xAF,175,0.004564764
0x0,0xB0,0xB0,176,0.004506047
0x0,0xB1,0xB1,177,0.004608069
0x0,0xB2,0xB2,178,0.004652286
0x0,0xB3,0xB3,179,0.004676236
0x0,0xB4,0xB4,180,0.004673738
0x0,0xB5,0xB5,181,0.004734942
0x0,0xB6,0xB6,182,0.004739982
